Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Unperfekthaus,Unperfekthaus,Germany,,Essen,http://www.unperfekthaus.de/,1 June 2004,active,2453157.5,
SUMA,SUMA,Germany,Niedersachsen,Hannover,http://suma-ev.de,5 July 2004,active,2453191.5,
Chalmers Robotförening,Chalmers Robotförening,Sweden,,Gothenburg,http://chalmersrobotics.se/,16 September 2004,active,2453264.5,
HackArena,HackArena,Spain,Sevilla,Sevilla,http://sevilla.hacklabs.org,1 November 2004,active,2453310.5,
RAIF HQ,RAIF HQ,Switzerland,Basel-Land,Muttenz,https://www.chaostreff.ch/,2005,active,2453371.5,
Das Labor,Das Labor,Germany,Nordrhein-Westfalen,Bochum,https://www.das-labor.org/,25 January 2005,active,2453395.5,
ChaosKueste,ChaosKueste,Germany,Schleswig-Holstein,Kiel,http://chaoskueste.de,3 February 2005,active,2453404.5,
Null Hacklab,Null Hacklab,Catalonia,Barcelona,Barcelona,http://www.lagresca.org/?page_id=1368,15 March 2005,active,2453444.5,
Odenwilusenz,Odenwilusenz,Switzerland,Schaffhausen,Beringen,http://odenwilusenz.ch,23 March 2005,active,2453452.5,
Emperor-team,Emperor-team,Iran,Tehran,Tehran,http://emperor-team.org/,27 June 2005,active,2453548.5,
Hacklab Cosenza,Hacklab Cosenza,Italy,Calabria,Cosenza,http://hlcs.it,1 September 2005,active,2453614.5,
C3D2,C3D2,Germany,Saxony,Dresden,https://www.c3d2.de/,1 October 2005,active,2453644.5,
HackersNepal,HackersNepal,Nepal,Kathmandu,Kathmandu,,15 November 2005,active,2453689.5,
Yachachiq,Yachachiq,Peru,Lima,Lima,http://scitechbizdev.blogspot.com/,1 January 2006,active,2453736.5,
THE-ZODIAC-HACKERSPACE,THE-ZODIAC-HACKERSPACE,Tunisia,Tunisia,Tunis,,14 March 2006,active,2453808.5,
Metalab,Metalab,Austria,Vienna,Vienna,https://metalab.at/,1 April 2006,active,2453826.5,
OfficeShareFukuoka,OfficeShareFukuoka,Japan,Fukuoka,Fukuoka,http://www.office-share.jp/,1 April 2006,active,2453826.5,
FuRty,FuRty,Turkey,,Istanbul,http://legend-h.org/,29 April 2006,active,2453854.5,
Alt+Ctrl+Supr,Alt+Ctrl+Supr,Catalonia,Barcelona,Terrassa,http://www.altctrlsupr.net/,1 May 2006,building,2453856.5,
Chaos Darmstadt,Chaos Darmstadt,Germany,Hessen,Darmstadt,https://www.chaos-darmstadt.de/,23 May 2006,active,2453878.5,
Vienna OpenLab,Vienna OpenLab,Austria,Vienna,Vienna,http://www.viennaopenlab.at/,23 May 2006,active,2453878.5,
Crealab,Crealab,France,44000,Nantes,http://www.crealab.info,1 June 2006,closed,2453887.5,
